mark_id,student_id,class_name,gender,subject,test_name,date_taken,marks_obtained,total_marks,percentage,previous_subject_percentage,subject_average,overall_average,attendance_percentage,risk_label,class,current_score,attendance,overall_avg,subject_avg,instruction,guidance
,,,,Chemistry,,,,,,,,,,sudden_drop,8B,62.0,91.0,,,"Class: 8B, Subject: Chemistry, Score: 62% (previous: 90%), Attendance: 91%, Overall avg: 71%, Subject avg: 76%.",Sudden 28% drop in Chemistry (90% to 62%)! This steep decline needs urgent action. STEPS: 1) Diagnose exact weak topic 2) Daily 30-minute focused practice 3) Tutoring support this week 4) Re-test in 5 days to check improvement.
,,,,Chemistry,,,,,,,,,,gradual_decline,9A,,74.0,,,"Class: 9A, Subject: Chemistry, Scores history: 91% → 86% → 77%. Attendance: 74%, Overall avg: 76%, Subject avg: 84%.",3-test Chemistry decline pattern: 91% → 86% → 77%. Intervention needed before trend worsens. APPROACH: 1) Detailed chapter-wise weakness analysis 2) Targeted exercise sheets daily 3) Concept clarification sessions 4) Progress tracking with weekly tests.
,,,,Social Studies,,,,,,,,,,no_risk,10B,87.0,95.0,92.0,,"Class: 10B, Subject: Social Studies, Score: 87%, Attendance: 95%, Overall avg: 92%.",✅ Social Studies performing at 87% - exactly where we want to see! Strong foundations with 95% attendance. SUGGESTIONS: 1) Introduce enrichment materials 2) Problem-solving challenges 3) Subject clubs participation 4) Consider as career-path indicator.
,,,,Biology,,,,,,,,,,no_risk,9B,78.0,94.0,84.0,,"Class: 9B, Subject: Biology, Score: 78%, Attendance: 94%, Overall avg: 84%.",✅ Biology performing at 78% - exactly where we want to see! Strong foundations with 94% attendance. SUGGESTIONS: 1) Introduce enrichment materials 2) Problem-solving challenges 3) Subject clubs participation 4) Consider as career-path indicator.
,,,,Chemistry,,,,,,,,,,no_risk,8B,85.0,83.0,87.0,,"Class: 8B, Subject: Chemistry, Score: 85%, Attendance: 83%, Overall avg: 87%.",✅ Outstanding Chemistry achievement (85%). Consistent excellence demonstrated. OPPORTUNITIES: 1) Fast-track to advanced topics 2) Subject-specific clubs/competitions 3) Advanced placement consideration 4) Leverage as strength subject.
,,,,Chemistry,,,,,,,,,,sudden_drop,10B,72.0,91.0,,,"Class: 10B, Subject: Chemistry, Score: 72% (previous: 89%), Attendance: 91%, Overall avg: 76%, Subject avg: 80%.",Sudden 17% drop in Chemistry (89% to 72%)! This steep decline needs urgent action. STEPS: 1) Diagnose exact weak topic 2) Daily 30-minute focused practice 3) Tutoring support this week 4) Re-test in 5 days to check improvement.
,,,,Math,,,,,,,,,,gradual_decline,9A,,86.0,,,"Class: 9A, Subject: Math, Scores history: 86% → 76% → 70%. Attendance: 86%, Overall avg: 67%, Subject avg: 77%.",Gradual Math decline detected: 86% → 76% → 70%. Pattern shows consistent downward trend across 3 tests. ACTION: 1) Root cause analysis (fatigue? difficult content?) 2) Stop decline immediately through targeted practice 3) Weekly mini-tests to track recovery 4) Adjust study methods if current approach failing.
,,,,Biology,,,,,,,,,,no_risk,8B,93.0,90.0,92.0,,"Class: 8B, Subject: Biology, Score: 93%, Attendance: 90%, Overall avg: 92%.",✅ Biology performing at 93% - exactly where we want to see! Strong foundations with 90% attendance. SUGGESTIONS: 1) Introduce enrichment materials 2) Problem-solving challenges 3) Subject clubs participation 4) Consider as career-path indicator.
,,,,Physics,,,,,,,,,,subject_weakness,9A,56.0,81.0,78.0,,"Class: 9A, Subject: Physics, Score: 56%, Attendance: 81%, Overall avg: 78%, Subject avg: 56%.",Clear strength-weakness pattern: 78% average overall but only 56% in Physics. Physics is holding back potential. CORRECTIVE MEASURES: 1) Immediate Physics tutoring start 2) Master fundamentals first 3) Daily 20-30 min focused practice 4) Problem-solving competitions to build confidence 5) Re-test after 2 weeks.
,,,,Science,,,,,,,,,,gradual_decline,10A,,76.0,,,"Class: 10A, Subject: Science, Scores history: 81% → 75% → 68%. Attendance: 76%, Overall avg: 81%, Subject avg: 74%.",Downward trend in Science: 81% → 75% → 68%. Student losing momentum. CORRECTIVE STEPS: 1) Increase practice frequency 2) Find study partner or tutor 3) Break complex topics into smaller parts 4) Daily revision schedule starting tomorrow 5) Re-motivate with positive reinforcement.
,,,,Chemistry,,,,,,,,,,gradual_decline,9A,,65.0,,,"Class: 9A, Subject: Chemistry, Scores history: 78% → 67% → 61%. Attendance: 65%, Overall avg: 61%, Subject avg: 68%.",3-test Chemistry decline pattern: 78% → 67% → 61%. Intervention needed before trend worsens. APPROACH: 1) Detailed chapter-wise weakness analysis 2) Targeted exercise sheets daily 3) Concept clarification sessions 4) Progress tracking with weekly tests.
,,,,Physics,,,,,,,,,,no_risk,8B,93.0,81.0,88.0,,"Class: 8B, Subject: Physics, Score: 93%, Attendance: 81%, Overall avg: 88%.",✅ Excellent performance in Physics (93%). Keep up strong work! RECOMMENDATIONS: 1) Introduce advanced challenge problems 2) Expand to Olympic-level content 3) Peer tutoring for struggling classmates 4) Consider subject specialization for competitive exams.
,,,,Science,,,,,,,,,,subject_weakness,10A,49.0,91.0,79.0,,"Class: 10A, Subject: Science, Score: 49%, Attendance: 91%, Overall avg: 79%, Subject avg: 49%.",Student excels generally (79% overall) but struggles in Science (49% average). Science seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Science materials 4) Bi-weekly progress tests 5) Peer mentoring in Science.
,,,,History,,,,,,,,,,gradual_decline,9A,,71.0,,,"Class: 9A, Subject: History, Scores history: 78% → 70% → 62%. Attendance: 71%, Overall avg: 67%, Subject avg: 70%.",History scores declining steadily: 78% → 70% → 62%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,History,,,,,,,,,,sudden_drop,10A,61.0,83.0,,,"Class: 10A, Subject: History, Score: 61% (previous: 91%), Attendance: 83%, Overall avg: 59%, Subject avg: 76%.",History 30% sudden drop with 83% attendance detected. INTERVENTION: 1) If attendance issue: mandatory attendance plan 2) If academic: intensive tutoring + daily practice 3) If personal: counseling referral 4) Reassess after 1 week.
,,,,Physics,,,,,,,,,,subject_weakness,8B,54.0,76.0,76.0,,"Class: 8B, Subject: Physics, Score: 54%, Attendance: 76%, Overall avg: 76%, Subject avg: 54%.",Strong overall student (76% average) but Physics is weak point (54%). Clear subject gap requiring focused intervention. STRATEGY: 1) Dedicated Physics tutor immediately 2) Daily Physics practice (minimum 45 minutes) 3) Group sessions focusing only on Physics 4) Weekly Physics-only assessments 5) Identify and fix conceptual gaps.
,,,,Science,,,,,,,,,,sudden_drop,10A,68.0,60.0,,,"Class: 10A, Subject: Science, Score: 68% (previous: 83%), Attendance: 60%, Overall avg: 65%, Subject avg: 75%.",Critical alert: Science score plummeted (15% drop). Attendance is 60% - could be factor. MUST DO: 1) Parent-teacher meeting if attendance low 2) One-on-one tutoring immediately 3) Catch-up material and daily practice 4) Weekly follow-ups to ensure recovery.
,,,,Chemistry,,,,,,,,,,no_risk,10B,92.0,99.0,92.0,,"Class: 10B, Subject: Chemistry, Score: 92%, Attendance: 99%, Overall avg: 92%.",✅ Outstanding Chemistry achievement (92%). Consistent excellence demonstrated. OPPORTUNITIES: 1) Fast-track to advanced topics 2) Subject-specific clubs/competitions 3) Advanced placement consideration 4) Leverage as strength subject.
,,,,Biology,,,,,,,,,,subject_weakness,8A,59.0,82.0,79.0,,"Class: 8A, Subject: Biology, Score: 59%, Attendance: 82%, Overall avg: 79%, Subject avg: 59%.",Student performing well (79%) except Biology (59% average). Need Biology specialization. PLAN: 1) One-on-one Biology coaching 2) Identify exact weak topics 3) Step-by-step problem solving practice 4) Visual learning materials for Biology 5) Weekly check-ins to track Biology improvement.
,,,,Physics,,,,,,,,,,gradual_decline,9B,,77.0,,,"Class: 9B, Subject: Physics, Scores history: 84% → 74% → 66%. Attendance: 77%, Overall avg: 76%, Subject avg: 74%.",Downward trend in Physics: 84% → 74% → 66%. Student losing momentum. CORRECTIVE STEPS: 1) Increase practice frequency 2) Find study partner or tutor 3) Break complex topics into smaller parts 4) Daily revision schedule starting tomorrow 5) Re-motivate with positive reinforcement.
,,,,History,,,,,,,,,,sudden_drop,8B,65.0,50.0,,,"Class: 8B, Subject: History, Score: 65% (previous: 95%), Attendance: 50%, Overall avg: 80%, Subject avg: 80%.",Sudden 30% drop in History (95% to 65%)! This steep decline needs urgent action. STEPS: 1) Diagnose exact weak topic 2) Daily 30-minute focused practice 3) Tutoring support this week 4) Re-test in 5 days to check improvement.
,,,,Math,,,,,,,,,,no_risk,8B,89.0,89.0,89.0,,"Class: 8B, Subject: Math, Score: 89%, Attendance: 89%, Overall avg: 89%.",✅ Excellent performance in Math (89%). Keep up strong work! RECOMMENDATIONS: 1) Introduce advanced challenge problems 2) Expand to Olympic-level content 3) Peer tutoring for struggling classmates 4) Consider subject specialization for competitive exams.
,,,,Social Studies,,,,,,,,,,gradual_decline,10A,,60.0,,,"Class: 10A, Subject: Social Studies, Scores history: 79% → 68% → 60%. Attendance: 60%, Overall avg: 61%, Subject avg: 69%.",Gradual Social Studies decline detected: 79% → 68% → 60%. Pattern shows consistent downward trend across 3 tests. ACTION: 1) Root cause analysis (fatigue? difficult content?) 2) Stop decline immediately through targeted practice 3) Weekly mini-tests to track recovery 4) Adjust study methods if current approach failing.
,,,,Physics,,,,,,,,,,no_risk,10A,76.0,89.0,75.0,,"Class: 10A, Subject: Physics, Score: 76%, Attendance: 89%, Overall avg: 75%.",✅ Outstanding Physics achievement (76%). Consistent excellence demonstrated. OPPORTUNITIES: 1) Fast-track to advanced topics 2) Subject-specific clubs/competitions 3) Advanced placement consideration 4) Leverage as strength subject.
,,,,Chemistry,,,,,,,,,,sudden_drop,9A,48.0,73.0,,,"Class: 9A, Subject: Chemistry, Score: 48% (previous: 70%), Attendance: 73%, Overall avg: 64%, Subject avg: 59%.",Chemistry 22% sudden drop with 73% attendance detected. INTERVENTION: 1) If attendance issue: mandatory attendance plan 2) If academic: intensive tutoring + daily practice 3) If personal: counseling referral 4) Reassess after 1 week.
,,,,English,,,,,,,,,,sudden_drop,10A,50.0,71.0,,,"Class: 10A, Subject: English, Score: 50% (previous: 75%), Attendance: 71%, Overall avg: 45%, Subject avg: 62%.",Sudden 25% drop in English (75% to 50%)! This steep decline needs urgent action. STEPS: 1) Diagnose exact weak topic 2) Daily 30-minute focused practice 3) Tutoring support this week 4) Re-test in 5 days to check improvement.
,,,,Physics,,,,,,,,,,sudden_drop,8B,69.0,95.0,,,"Class: 8B, Subject: Physics, Score: 69% (previous: 91%), Attendance: 95%, Overall avg: 71%, Subject avg: 80%.",Critical alert: Physics score plummeted (22% drop). Attendance is 95% - could be factor. MUST DO: 1) Parent-teacher meeting if attendance low 2) One-on-one tutoring immediately 3) Catch-up material and daily practice 4) Weekly follow-ups to ensure recovery.
,,,,Math,,,,,,,,,,sudden_drop,8A,69.0,93.0,,,"Class: 8A, Subject: Math, Score: 69% (previous: 89%), Attendance: 93%, Overall avg: 86%, Subject avg: 79%.",Critical alert: Math score plummeted (20% drop). Attendance is 93% - could be factor. MUST DO: 1) Parent-teacher meeting if attendance low 2) One-on-one tutoring immediately 3) Catch-up material and daily practice 4) Weekly follow-ups to ensure recovery.
,,,,History,,,,,,,,,,sudden_drop,10B,46.0,80.0,,,"Class: 10B, Subject: History, Score: 46% (previous: 74%), Attendance: 80%, Overall avg: 51%, Subject avg: 60%.",Amit's History dropped 28 points suddenly (74% → 46%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
,,,,Biology,,,,,,,,,,sudden_drop,9B,63.0,57.0,,,"Class: 9B, Subject: Biology, Score: 63% (previous: 82%), Attendance: 57%, Overall avg: 73%, Subject avg: 72%.",Amit's Biology dropped 19 points suddenly (82% → 63%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
,,,,English,,,,,,,,,,sudden_drop,9A,58.0,66.0,,,"Class: 9A, Subject: English, Score: 58% (previous: 77%), Attendance: 66%, Overall avg: 54%, Subject avg: 67%.",Critical alert: English score plummeted (19% drop). Attendance is 66% - could be factor. MUST DO: 1) Parent-teacher meeting if attendance low 2) One-on-one tutoring immediately 3) Catch-up material and daily practice 4) Weekly follow-ups to ensure recovery.
,,,,Chemistry,,,,,,,,,,no_risk,9A,85.0,81.0,86.0,,"Class: 9A, Subject: Chemistry, Score: 85%, Attendance: 81%, Overall avg: 86%.",✅ Strong consistent Chemistry performance (85%). Attendance excellent (81%). Continue current strategy! NEXT: 1) Advanced problem-solving practice 2) Subject competitions participation 3) Higher-order thinking activities 4) Consider this as strong subject for future focus.
,,,,Physics,,,,,,,,,,subject_weakness,8A,49.0,81.0,81.0,,"Class: 8A, Subject: Physics, Score: 49%, Attendance: 81%, Overall avg: 81%, Subject avg: 49%.",Clear strength-weakness pattern: 81% average overall but only 49% in Physics. Physics is holding back potential. CORRECTIVE MEASURES: 1) Immediate Physics tutoring start 2) Master fundamentals first 3) Daily 20-30 min focused practice 4) Problem-solving competitions to build confidence 5) Re-test after 2 weeks.
,,,,Chemistry,,,,,,,,,,no_risk,9A,92.0,87.0,93.0,,"Class: 9A, Subject: Chemistry, Score: 92%, Attendance: 87%, Overall avg: 93%.",✅ Outstanding Chemistry achievement (92%). Consistent excellence demonstrated. OPPORTUNITIES: 1) Fast-track to advanced topics 2) Subject-specific clubs/competitions 3) Advanced placement consideration 4) Leverage as strength subject.
,,,,Social Studies,,,,,,,,,,no_risk,9A,77.0,84.0,83.0,,"Class: 9A, Subject: Social Studies, Score: 77%, Attendance: 84%, Overall avg: 83%.",✅ Strong consistent Social Studies performance (77%). Attendance excellent (84%). Continue current strategy! NEXT: 1) Advanced problem-solving practice 2) Subject competitions participation 3) Higher-order thinking activities 4) Consider this as strong subject for future focus.
,,,,English,,,,,,,,,,subject_weakness,8B,59.0,95.0,90.0,,"Class: 8B, Subject: English, Score: 59%, Attendance: 95%, Overall avg: 90%, Subject avg: 59%.",English underperformance (59%) despite strong overall 90% average indicates specific subject difficulty. ACTION: 1) Hire specialized English tutor 2) Practice 30+ problems weekly in weak topics 3) Concept map creation for each English chapter 4) Monitor confidence levels 5) Adjust learning method if needed.
,,,,Physics,,,,,,,,,,subject_weakness,8B,56.0,78.0,87.0,,"Class: 8B, Subject: Physics, Score: 56%, Attendance: 78%, Overall avg: 87%, Subject avg: 56%.",Student excels generally (87% overall) but struggles in Physics (56% average). Physics seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Physics materials 4) Bi-weekly progress tests 5) Peer mentoring in Physics.
,,,,Math,,,,,,,,,,no_risk,10B,88.0,90.0,85.0,,"Class: 10B, Subject: Math, Score: 88%, Attendance: 90%, Overall avg: 85%.",✅ Math performing at 88% - exactly where we want to see! Strong foundations with 90% attendance. SUGGESTIONS: 1) Introduce enrichment materials 2) Problem-solving challenges 3) Subject clubs participation 4) Consider as career-path indicator.
,,,,Math,,,,,,,,,,sudden_drop,8B,59.0,77.0,,,"Class: 8B, Subject: Math, Score: 59% (previous: 94%), Attendance: 77%, Overall avg: 73%, Subject avg: 76%.",Amit's Math dropped 35 points suddenly (94% → 59%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
,,,,History,,,,,,,,,,no_risk,8A,80.0,83.0,75.0,,"Class: 8A, Subject: History, Score: 80%, Attendance: 83%, Overall avg: 75%.",✅ History mastery shown (80% with 83% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in History 3) Mentoring weaker students 4) Competitive exam preparation.
,,,,History,,,,,,,,,,sudden_drop,8B,68.0,59.0,,,"Class: 8B, Subject: History, Score: 68% (previous: 93%), Attendance: 59%, Overall avg: 63%, Subject avg: 80%.",History 25% sudden drop with 59% attendance detected. INTERVENTION: 1) If attendance issue: mandatory attendance plan 2) If academic: intensive tutoring + daily practice 3) If personal: counseling referral 4) Reassess after 1 week.
,,,,Biology,,,,,,,,,,gradual_decline,9A,,82.0,,,"Class: 9A, Subject: Biology, Scores history: 77% → 70% → 62%. Attendance: 82%, Overall avg: 53%, Subject avg: 69%.",Biology scores declining steadily: 77% → 70% → 62%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,Physics,,,,,,,,,,no_risk,10A,75.0,81.0,85.0,,"Class: 10A, Subject: Physics, Score: 75%, Attendance: 81%, Overall avg: 85%.",✅ Strong consistent Physics performance (75%). Attendance excellent (81%). Continue current strategy! NEXT: 1) Advanced problem-solving practice 2) Subject competitions participation 3) Higher-order thinking activities 4) Consider this as strong subject for future focus.
,,,,Chemistry,,,,,,,,,,gradual_decline,9A,,60.0,,,"Class: 9A, Subject: Chemistry, Scores history: 75% → 64% → 55%. Attendance: 60%, Overall avg: 68%, Subject avg: 64%.","Chemistry performance declining (75% → 64% → 55%). With 60% attendance, need to identify barriers. SOLUTION: 1) Review lecture notes missed (if attendance issue) 2) Intensive tutoring 3) Practice past papers 4) Check if personal/health issues affecting study."
,,,,Social Studies,,,,,,,,,,sudden_drop,8A,67.0,51.0,,,"Class: 8A, Subject: Social Studies, Score: 67% (previous: 85%), Attendance: 51%, Overall avg: 72%, Subject avg: 76%.",Critical alert: Social Studies score plummeted (18% drop). Attendance is 51% - could be factor. MUST DO: 1) Parent-teacher meeting if attendance low 2) One-on-one tutoring immediately 3) Catch-up material and daily practice 4) Weekly follow-ups to ensure recovery.
,,,,Social Studies,,,,,,,,,,subject_weakness,9A,59.0,85.0,76.0,,"Class: 9A, Subject: Social Studies, Score: 59%, Attendance: 85%, Overall avg: 76%, Subject avg: 59%.",Clear strength-weakness pattern: 76% average overall but only 59% in Social Studies. Social Studies is holding back potential. CORRECTIVE MEASURES: 1) Immediate Social Studies tutoring start 2) Master fundamentals first 3) Daily 20-30 min focused practice 4) Problem-solving competitions to build confidence 5) Re-test after 2 weeks.
,,,,Math,,,,,,,,,,no_risk,8A,79.0,84.0,89.0,,"Class: 8A, Subject: Math, Score: 79%, Attendance: 84%, Overall avg: 89%.",✅ Math mastery shown (79% with 84% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in Math 3) Mentoring weaker students 4) Competitive exam preparation.
,,,,Biology,,,,,,,,,,sudden_drop,9A,64.0,68.0,,,"Class: 9A, Subject: Biology, Score: 64% (previous: 81%), Attendance: 68%, Overall avg: 82%, Subject avg: 72%.",Biology 17% sudden drop with 68% attendance detected. INTERVENTION: 1) If attendance issue: mandatory attendance plan 2) If academic: intensive tutoring + daily practice 3) If personal: counseling referral 4) Reassess after 1 week.
,,,,Social Studies,,,,,,,,,,gradual_decline,9B,,64.0,,,"Class: 9B, Subject: Social Studies, Scores history: 83% → 77% → 65%. Attendance: 64%, Overall avg: 80%, Subject avg: 75%.",3-test Social Studies decline pattern: 83% → 77% → 65%. Intervention needed before trend worsens. APPROACH: 1) Detailed chapter-wise weakness analysis 2) Targeted exercise sheets daily 3) Concept clarification sessions 4) Progress tracking with weekly tests.
,,,,Math,,,,,,,,,,no_risk,9B,89.0,90.0,95.0,,"Class: 9B, Subject: Math, Score: 89%, Attendance: 90%, Overall avg: 95%.",✅ Outstanding Math achievement (89%). Consistent excellence demonstrated. OPPORTUNITIES: 1) Fast-track to advanced topics 2) Subject-specific clubs/competitions 3) Advanced placement consideration 4) Leverage as strength subject.
,,,,English,,,,,,,,,,gradual_decline,8B,,64.0,,,"Class: 8B, Subject: English, Scores history: 89% → 78% → 69%. Attendance: 64%, Overall avg: 71%, Subject avg: 78%.",Downward trend in English: 89% → 78% → 69%. Student losing momentum. CORRECTIVE STEPS: 1) Increase practice frequency 2) Find study partner or tutor 3) Break complex topics into smaller parts 4) Daily revision schedule starting tomorrow 5) Re-motivate with positive reinforcement.
,,,,Social Studies,,,,,,,,,,sudden_drop,8A,61.0,95.0,,,"Class: 8A, Subject: Social Studies, Score: 61% (previous: 79%), Attendance: 95%, Overall avg: 71%, Subject avg: 70%.",Critical alert: Social Studies score plummeted (18% drop). Attendance is 95% - could be factor. MUST DO: 1) Parent-teacher meeting if attendance low 2) One-on-one tutoring immediately 3) Catch-up material and daily practice 4) Weekly follow-ups to ensure recovery.
,,,,Science,,,,,,,,,,sudden_drop,9A,51.0,57.0,,,"Class: 9A, Subject: Science, Score: 51% (previous: 71%), Attendance: 57%, Overall avg: 56%, Subject avg: 61%.",Amit's Science dropped 20 points suddenly (71% → 51%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
,,,,Biology,,,,,,,,,,gradual_decline,8A,,67.0,,,"Class: 8A, Subject: Biology, Scores history: 84% → 75% → 70%. Attendance: 67%, Overall avg: 61%, Subject avg: 76%.",Biology scores declining steadily: 84% → 75% → 70%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,English,,,,,,,,,,gradual_decline,8B,,78.0,,,"Class: 8B, Subject: English, Scores history: 83% → 78% → 68%. Attendance: 78%, Overall avg: 77%, Subject avg: 76%.",3-test English decline pattern: 83% → 78% → 68%. Intervention needed before trend worsens. APPROACH: 1) Detailed chapter-wise weakness analysis 2) Targeted exercise sheets daily 3) Concept clarification sessions 4) Progress tracking with weekly tests.
,,,,Chemistry,,,,,,,,,,gradual_decline,9B,,74.0,,,"Class: 9B, Subject: Chemistry, Scores history: 87% → 81% → 72%. Attendance: 74%, Overall avg: 65%, Subject avg: 80%.",Chemistry scores declining steadily: 87% → 81% → 72%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,Science,,,,,,,,,,subject_weakness,9A,60.0,92.0,86.0,,"Class: 9A, Subject: Science, Score: 60%, Attendance: 92%, Overall avg: 86%, Subject avg: 60%.",Strong overall student (86% average) but Science is weak point (60%). Clear subject gap requiring focused intervention. STRATEGY: 1) Dedicated Science tutor immediately 2) Daily Science practice (minimum 45 minutes) 3) Group sessions focusing only on Science 4) Weekly Science-only assessments 5) Identify and fix conceptual gaps.
,,,,Physics,,,,,,,,,,sudden_drop,8A,35.0,60.0,,,"Class: 8A, Subject: Physics, Score: 35% (previous: 70%), Attendance: 60%, Overall avg: 53%, Subject avg: 52%.",Amit's Physics dropped 35 points suddenly (70% → 35%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
,,,,Physics,,,,,,,,,,subject_weakness,10B,41.0,82.0,73.0,,"Class: 10B, Subject: Physics, Score: 41%, Attendance: 82%, Overall avg: 73%, Subject avg: 41%.",Student excels generally (73% overall) but struggles in Physics (41% average). Physics seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Physics materials 4) Bi-weekly progress tests 5) Peer mentoring in Physics.
,,,,History,,,,,,,,,,gradual_decline,10A,,90.0,,,"Class: 10A, Subject: History, Scores history: 82% → 70% → 60%. Attendance: 90%, Overall avg: 55%, Subject avg: 70%.",3-test History decline pattern: 82% → 70% → 60%. Intervention needed before trend worsens. APPROACH: 1) Detailed chapter-wise weakness analysis 2) Targeted exercise sheets daily 3) Concept clarification sessions 4) Progress tracking with weekly tests.
,,,,Math,,,,,,,,,,sudden_drop,10B,47.0,76.0,,,"Class: 10B, Subject: Math, Score: 47% (previous: 82%), Attendance: 76%, Overall avg: 47%, Subject avg: 64%.",Sudden 35% drop in Math (82% to 47%)! This steep decline needs urgent action. STEPS: 1) Diagnose exact weak topic 2) Daily 30-minute focused practice 3) Tutoring support this week 4) Re-test in 5 days to check improvement.
,,,,Math,,,,,,,,,,gradual_decline,10B,,63.0,,,"Class: 10B, Subject: Math, Scores history: 86% → 76% → 69%. Attendance: 63%, Overall avg: 79%, Subject avg: 77%.",Math scores declining steadily: 86% → 76% → 69%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,Science,,,,,,,,,,subject_weakness,9B,55.0,90.0,86.0,,"Class: 9B, Subject: Science, Score: 55%, Attendance: 90%, Overall avg: 86%, Subject avg: 55%.",Clear strength-weakness pattern: 86% average overall but only 55% in Science. Science is holding back potential. CORRECTIVE MEASURES: 1) Immediate Science tutoring start 2) Master fundamentals first 3) Daily 20-30 min focused practice 4) Problem-solving competitions to build confidence 5) Re-test after 2 weeks.
,,,,Math,,,,,,,,,,gradual_decline,10A,,76.0,,,"Class: 10A, Subject: Math, Scores history: 76% → 69% → 63%. Attendance: 76%, Overall avg: 72%, Subject avg: 69%.",3-test Math decline pattern: 76% → 69% → 63%. Intervention needed before trend worsens. APPROACH: 1) Detailed chapter-wise weakness analysis 2) Targeted exercise sheets daily 3) Concept clarification sessions 4) Progress tracking with weekly tests.
,,,,History,,,,,,,,,,gradual_decline,10A,,80.0,,,"Class: 10A, Subject: History, Scores history: 75% → 65% → 59%. Attendance: 80%, Overall avg: 49%, Subject avg: 66%.",History scores declining steadily: 75% → 65% → 59%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,Science,,,,,,,,,,no_risk,10A,92.0,87.0,88.0,,"Class: 10A, Subject: Science, Score: 92%, Attendance: 87%, Overall avg: 88%.",✅ Outstanding Science achievement (92%). Consistent excellence demonstrated. OPPORTUNITIES: 1) Fast-track to advanced topics 2) Subject-specific clubs/competitions 3) Advanced placement consideration 4) Leverage as strength subject.
,,,,Social Studies,,,,,,,,,,gradual_decline,8B,,72.0,,,"Class: 8B, Subject: Social Studies, Scores history: 85% → 74% → 63%. Attendance: 72%, Overall avg: 67%, Subject avg: 74%.",Gradual Social Studies decline detected: 85% → 74% → 63%. Pattern shows consistent downward trend across 3 tests. ACTION: 1) Root cause analysis (fatigue? difficult content?) 2) Stop decline immediately through targeted practice 3) Weekly mini-tests to track recovery 4) Adjust study methods if current approach failing.
,,,,History,,,,,,,,,,subject_weakness,8B,57.0,78.0,81.0,,"Class: 8B, Subject: History, Score: 57%, Attendance: 78%, Overall avg: 81%, Subject avg: 57%.",History underperformance (57%) despite strong overall 81% average indicates specific subject difficulty. ACTION: 1) Hire specialized History tutor 2) Practice 30+ problems weekly in weak topics 3) Concept map creation for each History chapter 4) Monitor confidence levels 5) Adjust learning method if needed.
